c_location,population,highestinfectioncount,percentofpopulationinfected
Liberia,5302690,8043,0.151677733
Mali,22593598,32767,0.145027808
Sudan,46874200,63686,0.135865785
China,1425887360,1909905,0.133945012
Nigeria,218541216,266381,0.121890509
Burkina Faso,22673764,22006,0.097054905
Democratic Republic of Congo,99010216,94970,0.095919395
Sierra Leone,8605723,7760,0.090172551
Tanzania,65497752,42111,0.06429381
Chad,17723312,7649,0.043157848
Niger,26207982,9473,0.036145477
Yemen,33696612,11945,0.035448668
North Korea,26069416,1,3.83591E-06
